Benchmark,IPC,Accuracy
602.gcc_s-734B.champsimtrace.xz,0.594111,99.9547%
631.deepsjeng_s-928B.champsimtrace.xz,0.930404,88.8658%
649.fotonik3d_s-1176B.champsimtrace.xz,0.669909,99.9744%
657.xz_s-3167B.champsimtrace.xz,0.976363,92.2731%
621.wrf_s-575B.champsimtrace.xz,1.11932,98.4249%
603.bwaves_s-3699B.champsimtrace.xz,1.35287,95.1349%
607.cactuBSSN_s-2421B.champsimtrace.xz,1.22647,99.5606%
623.xalancbmk_s-700B.champsimtrace.xz,0.706945,99.2767%
619.lbm_s-4268B.champsimtrace.xz,0.441295,96.9806%
627.cam4_s-573B.champsimtrace.xz,1.08017,98.4302%
600.perlbench_s-210B.champsimtrace.xz,1.29956,97.9666%
638.imagick_s-10316B.champsimtrace.xz,2.3668,99.6976%
644.nab_s-5853B.champsimtrace.xz,1.3362,99.9368%
628.pop2_s-17B.champsimtrace.xz,1.16071,96.3968%
641.leela_s-800B.champsimtrace.xz,0.718467,85.4395%
648.exchange2_s-1699B.champsimtrace.xz,1.81163,96.3343%
654.roms_s-842B.champsimtrace.xz,1.647,99.4566%
620.omnetpp_s-874B.champsimtrace.xz,0.359275,97.2502%
605.mcf_s-665B.champsimtrace.xz,0.375396,91.8514%
625.x264_s-18B.champsimtrace.xz,1.68971,98.3911%
